Track Name,Artist Name,Release Year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,Popularity
(Ha Ha) Slow Down,Fat Joe,2010.0,0.307,0.879,9.0,-5.557,1.0,0.528,0.123,0.0,0.0621,0.407,190.393,3.4166666666666665,35
(I Can't Make It) Another Day,Michael Jackson,2010.0,0.682,0.837,2.0,-4.654,1.0,0.116,0.0339,7.23e-06,0.0471,0.886,90.019,3.9068833333333335,38
(I Like) The Way You Love Me,Michael Jackson,2010.0,0.626,0.662,0.0,-4.272,1.0,0.0282,0.307,1.6e-05,0.241,0.511,94.993,4.5633333333333335,47
(It's Not War) Just the End of Love,Manic Street Preachers,2010.0,0.538,0.886,5.0,-5.31,1.0,0.0309,7.8e-05,0.0254,0.21,0.565,138.993,3.46755,35
...And the World Laughs With You,Flying Lotus,2010.0,0.637,0.717,8.0,-7.635,0.0,0.143,0.185,0.497,0.141,0.541,80.926,2.917333333333333,38
1+1,Beyoncé,2011.0,0.365,0.382,6.0,-7.344,1.0,0.0295,0.382,5.08e-06,0.0661,0.268,148.363,4.564666666666667,61
"1,000 Faces",Randy Montana,2010.0,0.557,0.647,2.0,-5.791,1.0,0.0368,0.0267,4.4e-05,0.125,0.581,112.979,4.025333333333333,15
10 Seconds,Jazmine Sullivan,2010.0,0.496,0.465,8.0,-6.358,0.0,0.0431,0.229,0.0,0.207,0.268,188.15,3.128,52
100 Years From Now,Karen Elson,2010.0,0.411,0.341,9.0,-9.385,1.0,0.0287,0.633,1.06e-05,0.172,0.397,144.604,3.2211166666666666,10
1000 Years,The Coral,2010.0,0.537,0.84,2.0,-6.642,1.0,0.0313,0.0125,0.00589,0.156,0.844,128.046,2.8593333333333333,17
1979,Good Charlotte,2010.0,0.563,0.946,0.0,-2.673,1.0,0.0523,0.0149,0.0,0.191,0.52,117.096,2.9991166666666667,43
1983,Neon Trees,2010.0,0.463,0.981,10.0,-3.922,1.0,0.18,7.37e-05,0.0,0.102,0.703,153.048,3.7093333333333334,51
2 Sides of Me,Hinder,2010.0,0.341,0.971,6.0,-4.154,1.0,0.0754,0.00195,0.0,0.571,0.384,163.863,3.41,42
2012,The Word Alive,2010.0,0.461,0.871,11.0,-4.982,0.0,0.0448,0.000256,0.0,0.497,0.188,150.061,3.02845,35
2012 (It Ain't the End),Jay Sean,2010.0,0.717,0.792,0.0,-2.703,1.0,0.0393,0.199,0.0,0.423,0.513,126.975,3.703333333333333,58
21@12,Hot Hot Heat,2010.0,0.448,0.937,5.0,-4.0,1.0,0.0589,0.0117,0.0,0.391,0.744,135.125,3.6856833333333334,10
25 to Life,Eminem,2010.0,0.701,0.931,8.0,-0.945,0.0,0.243,0.239,0.0,0.194,0.362,79.996,4.02645,63
30 Thousand 100 Million,Soulja Boy,2010.0,0.809,0.358,6.0,-4.302,1.0,0.112,0.00693,0.0,0.11,0.667,119.699,4.057783333333333,21
4 June 1989,Mary Chapin Carpenter,2010.0,0.529,0.396,5.0,-12.046,1.0,0.0332,0.74,0.00879,0.144,0.345,80.021,4.7973333333333334,10
4th of July (Fireworks),Kelis,2010.0,0.729,0.714,4.0,-4.729,0.0,0.0431,0.0336,0.000933,0.074,0.804,124.042,5.467333333333333,26
6 Foot 7 Foot,Lil Wayne,2011.0,0.364,0.752,2.0,-5.429,1.0,0.304,0.0007,0.0,0.318,0.606,79.119,4.143116666666667,74
7x70,Chris August,2010.0,0.448,0.615,0.0,-6.088,1.0,0.0352,0.222,0.0,0.112,0.203,129.957,3.949116666666667,28
A Billion Balconies Facing the Sun,Manic Street Preachers,2010.0,0.463,0.827,0.0,-4.852,1.0,0.0598,9.71e-05,0.0438,0.172,0.623,151.99,3.6548833333333333,9
A Brighter Day,The Doobie Brothers,2010.0,0.565,0.792,0.0,-4.993,1.0,0.064,0.0317,9.08e-05,0.0927,0.766,176.04,3.907783333333333,15
A Dream Come True,Elton John & Leon Russell,2010.0,0.557,0.763,0.0,-10.085,1.0,0.0349,0.35,0.797,0.136,0.766,118.751,5.109333333333334,16
A Father's Love (The Only Way He Knew How),Bucky Covington,2010.0,0.499,0.666,2.0,-6.257,1.0,0.0369,0.411,0.0,0.0895,0.556,180.018,3.3031166666666665,31
A Friend So Kind,The Choir,2010.0,0.429,0.201,9.0,-14.855,1.0,0.0327,0.764,0.00101,0.121,0.114,79.049,4.9062166666666664,1
A Happy Place,Katie Melua,2010.0,0.735,0.636,10.0,-5.529,1.0,0.0241,0.28,1.31e-06,0.216,0.429,98.011,3.45355,23
A Little Bit Stronger,Sara Evans,2011.0,0.536,0.65,2.0,-5.603,1.0,0.0337,0.282,1.16e-06,0.0876,0.288,147.93,5.0331166666666665,61
A Lot to Learn About Livin',Easton Corbin,2010.0,0.821,0.64,8.0,-8.864,1.0,0.0289,0.323,0.0,0.167,0.954,120.983,3.7786666666666666,38
A Man Like Me,Randy Houser,2010.0,0.589,0.868,0.0,-4.956,1.0,0.0713,0.0808,0.0,0.192,0.48,80.048,3.326216666666667,22
A Moment Changes Everything,David Gray,2010.0,0.569,0.798,8.0,-5.907,1.0,0.0332,0.0384,0.0,0.15,0.637,142.016,3.4508833333333335,15
A Place Where You Belong,Bullet For My Valentine,2010.0,0.312,0.832,11.0,-3.882,0.0,0.0365,5.12e-05,0.00133,0.148,0.33,133.708,5.107783333333333,48
A Pot in Which to Piss,Titus Andronicus,2010.0,0.157,0.802,4.0,-5.384,1.0,0.0548,0.244,0.075,0.208,0.17,163.596,8.898216666666666,21
A Voice In The Dark,Elvis Costello,2010.0,0.564,0.363,9.0,-9.461,0.0,0.0372,0.694,0.000311,0.188,0.629,138.833,3.5568833333333334,3
A Warrior's Call,Volbeat,2010.0,0.373,0.903,10.0,-4.49,1.0,0.083,0.00077,5.86e-06,0.244,0.43,109.121,4.384666666666667,70
A Year Without Rain,Selena Gomez & The Scene,2010.0,0.629,0.806,2.0,-5.264,0.0,0.0442,0.0102,1.72e-05,0.112,0.409,119.966,3.90555,58
Absence Of Light,Maximum Balloon,2010.0,0.596,0.88,5.0,-3.823,1.0,0.0531,0.00672,0.0118,0.0723,0.45,99.996,3.870216666666667,9
Acapella,Karmin,2014.0,0.667,0.619,2.0,-4.933,1.0,0.151,0.126,0.0,0.101,0.427,169.865,3.3151166666666665,59
Ache with Me,Against Me!,2011.0,0.461,0.695,6.0,-4.027,1.0,0.0272,0.0488,0.000573,0.113,0.194,104.185,3.64155,31
Acolyte,Delphic,2010.0,0.417,0.964,9.0,-5.251,0.0,0.0408,0.000632,0.663,0.0921,0.232,133.971,8.855116666666667,5
Act of God,Prince,2010.0,0.974,0.698,11.0,-4.232,1.0,0.118,0.183,0.00103,0.217,0.679,119.726,3.2262166666666667,18
Action Needs an Audience,Jimmy Eat World,2010.0,0.515,0.952,2.0,-3.833,0.0,0.0561,0.000193,0.0,0.102,0.491,131.088,2.68045,33
Acts of Man,Midlake,2010.0,0.479,0.493,0.0,-11.761,0.0,0.0271,0.558,0.0293,0.118,0.401,130.801,2.918,47
ADD SUV,Uffie,2010.0,0.843,0.972,6.0,-6.58,0.0,0.144,0.00326,0.301,0.0324,0.496,124.989,4.7423166666666665,51
Addicted,Jorja Smith,2021.0,0.453,0.507,2.0,-10.098,1.0,0.0519,0.241,0.0107,0.16,0.153,134.023,3.4029166666666666,57
Afraid of Everyone,The National,2010.0,0.527,0.779,9.0,-7.638,0.0,0.0508,0.504,0.803,0.0996,0.239,126.026,4.318216666666666,35
After 17,Alan Jackson,2010.0,0.684,0.636,0.0,-8.34,1.0,0.0376,0.36,1.43e-06,0.105,0.323,129.984,3.844883333333333,32
Afterlife,Hailee Steinfeld,2019.0,0.673,0.61,1.0,-4.73,0.0,0.0356,0.00662,0.0,0.0572,0.343,122.063,3.486666666666667,58
Age of Adz,Sufjan Stevens,2010.0,0.467,0.465,1.0,-10.592,1.0,0.0334,0.757,1e-05,0.096,0.323,99.988,8.028666666666666,36
Airplane,Plain White T's,2010.0,0.571,0.267,7.0,-9.832,0.0,0.028,0.738,0.0,0.186,0.352,81.594,2.3071166666666665,23
Airplanes,B.o.B,2010.0,0.66,0.867,6.0,-4.285,0.0,0.116,0.11,0.0,0.0368,0.377,93.033,3.008,78
Akidagain,Travie McCoy,2010.0,0.618,0.737,1.0,-5.683,1.0,0.142,0.00506,1.56e-06,0.186,0.512,79.235,3.692,25
Albatross,Foals,2015.0,0.537,0.821,2.0,-7.051,0.0,0.0368,0.233,0.752,0.106,0.329,120.01,5.392883333333334,42
Album Number Two,Joey + Rory,2010.0,0.644,0.732,2.0,-5.473,1.0,0.0345,0.161,2.77e-06,0.248,0.515,124.914,2.95745,6
Alcohol Blind,Drowning Pool,2010.0,0.492,0.762,4.0,-5.565,1.0,0.0299,0.00401,0.000676,0.148,0.199,79.504,4.185333333333333,19
Alice,Lady Gaga,2020.0,0.723,0.88,11.0,-4.287,0.0,0.038,0.00334,0.0179,0.0632,0.323,123.036,2.96,60
