danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.307,0.879,9,-5.557,1,0.528,0.123,0.0,0.0621,0.407,190.393,audio_features,2GSvDs1qdhcPpfawycouWy,spotify:track:2GSvDs1qdhcPpfawycouWy,https://api.spotify.com/v1/tracks/2GSvDs1qdhcPpfawycouWy,https://api.spotify.com/v1/audio-analysis/2GSvDs1qdhcPpfawycouWy,205000,4
0.682,0.837,2,-4.654,1,0.116,0.0339,7.23e-06,0.0471,0.886,90.019,audio_features,5OgTq4ExF13EdcLD6PSYuN,spotify:track:5OgTq4ExF13EdcLD6PSYuN,https://api.spotify.com/v1/tracks/5OgTq4ExF13EdcLD6PSYuN,https://api.spotify.com/v1/audio-analysis/5OgTq4ExF13EdcLD6PSYuN,234413,4
0.626,0.662,0,-4.272,1,0.0282,0.307,1.6e-05,0.241,0.511,94.993,audio_features,3VDJf1JQWl9m3H1JgdhUNj,spotify:track:3VDJf1JQWl9m3H1JgdhUNj,https://api.spotify.com/v1/tracks/3VDJf1JQWl9m3H1JgdhUNj,https://api.spotify.com/v1/audio-analysis/3VDJf1JQWl9m3H1JgdhUNj,273800,4
0.538,0.886,5,-5.31,1,0.0309,7.8e-05,0.0254,0.21,0.565,138.993,audio_features,6s57NVutjlmejmjTJr3Sj0,spotify:track:6s57NVutjlmejmjTJr3Sj0,https://api.spotify.com/v1/tracks/6s57NVutjlmejmjTJr3Sj0,https://api.spotify.com/v1/audio-analysis/6s57NVutjlmejmjTJr3Sj0,208053,4
0.637,0.717,8,-7.635,0,0.143,0.185,0.497,0.141,0.541,80.926,audio_features,5STqmIsYNIaupSUZrcDgaZ,spotify:track:5STqmIsYNIaupSUZrcDgaZ,https://api.spotify.com/v1/tracks/5STqmIsYNIaupSUZrcDgaZ,https://api.spotify.com/v1/audio-analysis/5STqmIsYNIaupSUZrcDgaZ,175040,4
0.365,0.382,6,-7.344,1,0.0295,0.382,5.08e-06,0.0661,0.268,148.363,audio_features,1pzJboOZaDNwshBnOlNh3a,spotify:track:1pzJboOZaDNwshBnOlNh3a,https://api.spotify.com/v1/tracks/1pzJboOZaDNwshBnOlNh3a,https://api.spotify.com/v1/audio-analysis/1pzJboOZaDNwshBnOlNh3a,273880,3
0.557,0.647,2,-5.791,1,0.0368,0.0267,4.4e-05,0.125,0.581,112.979,audio_features,5wnev4mkgSI6XS1bYLOKS5,spotify:track:5wnev4mkgSI6XS1bYLOKS5,https://api.spotify.com/v1/tracks/5wnev4mkgSI6XS1bYLOKS5,https://api.spotify.com/v1/audio-analysis/5wnev4mkgSI6XS1bYLOKS5,241520,4
0.496,0.465,8,-6.358,0,0.0431,0.229,0.0,0.207,0.268,188.15,audio_features,26W5hzHymyTJj29lw0E9hj,spotify:track:26W5hzHymyTJj29lw0E9hj,https://api.spotify.com/v1/tracks/26W5hzHymyTJj29lw0E9hj,https://api.spotify.com/v1/audio-analysis/26W5hzHymyTJj29lw0E9hj,187680,3
0.411,0.341,9,-9.385,1,0.0287,0.633,1.06e-05,0.172,0.397,144.604,audio_features,6xBrJcyJHO1qJJ7uyq1CKs,spotify:track:6xBrJcyJHO1qJJ7uyq1CKs,https://api.spotify.com/v1/tracks/6xBrJcyJHO1qJJ7uyq1CKs,https://api.spotify.com/v1/audio-analysis/6xBrJcyJHO1qJJ7uyq1CKs,193267,3
0.537,0.84,2,-6.642,1,0.0313,0.0125,0.00589,0.156,0.844,128.046,audio_features,1ZlcF7Xx5lJtjK3ePVewPL,spotify:track:1ZlcF7Xx5lJtjK3ePVewPL,https://api.spotify.com/v1/tracks/1ZlcF7Xx5lJtjK3ePVewPL,https://api.spotify.com/v1/audio-analysis/1ZlcF7Xx5lJtjK3ePVewPL,171560,4
