Music Name,Artist,Music ID,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Duration_ms,Key,Mode,Time_signature,Popularity
The Answer,Savages,0T8WcoofVcIw7nv9voAnOA,0.000764,0.349,0.815,0.00279,0.344,-5.659,0.0433,96.064,0.344,210067,7,1,4,27
The Art of War,Anberlin,2XToKzfshjQivkC9Xua9La,9.05e-05,0.54,0.858,0.000106,0.111,-7.919,0.0424,87.497,0.265,289493,10,0,4,16
The Ballad Of Leonard And Charles,Exodus,6dX3q8zkLZVuwOLTwVoPUS,0.00345,0.268,0.99,0.0842,0.115,-5.561,0.14,97.269,0.0767,434293,3,1,4,28
The Battle of Hampton Roads,Titus Andronicus,6bqFT6z76pkVtIwg1Bx9qz,0.0451,0.206,0.846,0.000265,0.311,-5.065,0.0535,169.035,0.144,841947,7,1,4,22
The Best In Me,Marvin Sapp,1B5NWdLAt8GC4WKTPUCrLM,0.344,0.407,0.613,0.0,0.458,-8.616,0.195,102.519,0.228,514307,10,1,4,52
The Best Keeps Getting Better,Alan Jackson,0Wey5ZrNwZhlAlQHc4756q,0.562,0.708,0.441,1.78e-05,0.0979,-9.21,0.026,111.964,0.508,224480,5,1,4,29
The Best Mistake,Amber Pacific,4dx638V6alzEVq2Ak4hJyP,4.16e-05,0.384,0.96,0.000123,0.321,-2.538,0.0496,169.654,0.74,201560,11,1,4,9
The Best Thing About Me is You,Ricky Martin,0Fv5GIHRVoKbqpFgjSk19T,0.582,0.737,0.829,0.0,0.0893,-3.982,0.0972,128.861,0.701,216253,8,1,4,47
The Big Bang,Rock Mafia,0SGojwNP2zUrgDyeoBQxYO,0.124,0.902,0.816,8.94e-06,0.18,-3.077,0.0312,96.01,0.894,160200,0,0,4,65
The Bitter End,Stone Sour,3hwKJd7zab7aVv3MKWxm59,8.58e-06,0.441,0.963,1.6e-06,0.108,-3.935,0.0876,146.947,0.283,213627,11,0,4,35
The Blackest Lily,Corinne Bailey Rae,0dcnWlnQ4xTJOsyUP02Zj6,0.034,0.624,0.647,2.9e-05,0.12,-6.439,0.0738,126.246,0.678,217893,2,1,4,17
The Book Of Love,Peter Gabriel,4TGjfiGfhS8OKXHdghtMh0,0.812,0.147,0.14,5.05e-05,0.0953,-15.178,0.0348,172.408,0.195,232613,8,1,3,44
