Track Name,Artist Name,Track ID,Release Year
(Ha Ha) Slow Down,Fat Joe,2GSvDs1qdhcPpfawycouWy,2010
(I Can't Make It) Another Day,Michael Jackson,5OgTq4ExF13EdcLD6PSYuN,2010
(I Like) The Way You Love Me,Michael Jackson,3VDJf1JQWl9m3H1JgdhUNj,2010
(It's Not War) Just the End of Love,Manic Street Preachers,6s57NVutjlmejmjTJr3Sj0,2010
...And the World Laughs With You,Flying Lotus,5STqmIsYNIaupSUZrcDgaZ,2010
1+1,Beyoncé,1pzJboOZaDNwshBnOlNh3a,2011
"1,000 Faces",Randy Montana,5wnev4mkgSI6XS1bYLOKS5,2010
10 Seconds,Jazmine Sullivan,26W5hzHymyTJj29lw0E9hj,2010
100 Years From Now,Karen Elson,6xBrJcyJHO1qJJ7uyq1CKs,2010
1000 Years,The Coral,1ZlcF7Xx5lJtjK3ePVewPL,2010
1979,Good Charlotte,3V6iTpZhci748mC2Fod98t,2010
1983,Neon Trees,4DJLcyfnyEGlUejAEAX4az,2010
2 Sides of Me,Hinder,1on38cSel8kKB8A1ElH0sq,2010
2012,The Word Alive,1I9YiXIPPF0t89kDGqWyST,2010
2012 (It Ain't the End),Jay Sean,1ERCOXHQcoLSTlgmNTlcrR,2010
21@12,Hot Hot Heat,3jovYAbHqpeRDeFlhSMayO,2010
25 to Life,Eminem,0dyWQoMOU9oERL6c9vxtRp,2010
30 Thousand 100 Million,Soulja Boy,1rlQWFqg0PM0FFYkthHIsO,2010
4 June 1989,Mary Chapin Carpenter,6FIjLDChjXGtNvQXWuZRW3,2010
4th of July (Fireworks),Kelis,6JaUTMxVYwvDT8z4m3VYbo,2010
6 Foot 7 Foot,Lil Wayne,5Qy6a5KzM4XlRxsNcGYhgH,2011
7x70,Chris August,0jdsdlhKG4VcDxT2WKKZfl,2010
A Billion Balconies Facing the Sun,Manic Street Preachers,2zd2MRU2kgP9zlr83sWiuZ,2010
A Brighter Day,The Doobie Brothers,2nmnm4R1MScKcxpp5he2tU,2010
A Dream Come True,Elton John & Leon Russell,39yfQlQLPcOsgqLPqM4hM1,2010
A Father's Love (The Only Way He Knew How),Bucky Covington,3p9s4tvrawZBgPHGXBvRGs,2010
A Friend So Kind,The Choir,5JobX0PJsSKP5YIqHmL04A,2010
A Happy Place,Katie Melua,3RxItqrYLiA92dsLyDaWNt,2010
A Little Bit Stronger,Sara Evans,5FIp4LrsffxiHLhmmpCbCx,2011
