track_id,track_name,artist_name,popularity,release_year
2GSvDs1qdhcPpfawycouWy,(Ha Ha) Slow Down,Fat Joe,32.0,2010
5OgTq4ExF13EdcLD6PSYuN,(I Can't Make It) Another Day,Michael Jackson,36.0,2010
3VDJf1JQWl9m3H1JgdhUNj,(I Like) The Way You Love Me,Michael Jackson,44.0,2010
5STqmIsYNIaupSUZrcDgaZ,...And the World Laughs With You,Flying Lotus,35.0,2010
02M6vucOvmRfMxTXDUwRXu,1+1,Beyoncé,68.0,2014
5wnev4mkgSI6XS1bYLOKS5,"1,000 Faces",Randy Montana,13.0,2010
26W5hzHymyTJj29lw0E9hj,10 Seconds,Jazmine Sullivan,50.0,2010
6xBrJcyJHO1qJJ7uyq1CKs,100 Years From Now,Karen Elson,8.0,2010
1ZlcF7Xx5lJtjK3ePVewPL,1000 Years,The Coral,15.0,2010
3V6iTpZhci748mC2Fod98t,1979,Good Charlotte,40.0,2010
4DJLcyfnyEGlUejAEAX4az,1983,Neon Trees,48.0,2010
1on38cSel8kKB8A1ElH0sq,2 Sides of Me,Hinder,40.0,2010
1I9YiXIPPF0t89kDGqWyST,2012,The Word Alive,32.0,2010
1ERCOXHQcoLSTlgmNTlcrR,2012 (It Ain't the End),Jay Sean,56.0,2010
3jovYAbHqpeRDeFlhSMayO,21@12,Hot Hot Heat,8.0,2010
0dyWQoMOU9oERL6c9vxtRp,25 to Life,Eminem,61.0,2010
1rlQWFqg0PM0FFYkthHIsO,30 Thousand 100 Million,Soulja Boy,19.0,2010
6FIjLDChjXGtNvQXWuZRW3,4 June 1989,Mary Chapin Carpenter,8.0,2010
6JaUTMxVYwvDT8z4m3VYbo,4th of July (Fireworks),Kelis,24.0,2010
5Qy6a5KzM4XlRxsNcGYhgH,6 Foot 7 Foot,Lil Wayne,71.0,2011
5kqIPrATaCc2LqxVWzQGbk,7&3 is the Striker's Name,Paul Weller,84.0,2016
0jdsdlhKG4VcDxT2WKKZfl,7x70,Chris August,25.0,2010
7HrnJuP2PObaICNA75dP3I,A Billion Balconies Facing the Sun,Manic Street Preachers,15.0,2010
2nmnm4R1MScKcxpp5he2tU,A Brighter Day,The Doobie Brothers,13.0,2010
39yfQlQLPcOsgqLPqM4hM1,A Dream Come True,Elton John & Leon Russell,14.0,2010
3p9s4tvrawZBgPHGXBvRGs,A Father's Love (The Only Way He Knew How),Bucky Covington,28.0,2010
